Year	Date	Temperature(F)
2006	0826	91.9
2006	0827	89.1
2006	0828	91.9
2006	0829	93.9
2006	0830	82.0
2006	0831	91.0
2007	0801	87.8
2007	0802	80.6
2007	0803	84.2
2007	0804	89.1
2007	0805	93.0
2007	0806	93.9
2007	0807	93.9
2007	0808	95.0
2007	0809	93.9
2007	0810	93.9
2007	0811	93.9
2007	0812	93.9
2007	0813	93.0
2007	0814	96.1
2007	0815	93.0
2007	0816	91.0
2007	0817	91.0
2007	0818	91.9
2007	0819	91.0
2007	0820	93.9
2007	0821	93.9
2007	0822	93.9
2007	0823	91.9
2007	0824	91.0
2007	0825	90.0
2007	0826	84.9
2007	0827	90.0
2007	0828	93.0
2007	0829	91.9
2007	0830	93.0
2007	0831	88.0
2008	0801	84.9
2008	0802	82.0
2008	0803	90.0
2008	0804	91.0
2008	0805	91.9
2008	0806	93.9
2008	0807	93.9
2008	0808	88.0
2008	0809	93.0
2008	0810	90.0
2008	0811	88.0
2008	0812	81.0
2008	0813	88.0
2008	0814	82.0
2008	0815	88.0
2008	0816	82.9
2008	0817	86.0
2008	0818	89.1
2008	0819	84.9
2008	0820	82.9
2008	0821	78.1
2008	0822	77.0
2008	0823	84.9
2008	0824	87.1
2008	0825	88.0
2008	0826	90.0
2008	0827	91.9
2008	0828	89.1
2008	0829	91.0
2008	0830	87.1
2008	0831	88.0
2009	0801	90.0
2009	0802	89.1
2009	0803	89.1
2009	0804	89.1
2009	0805	90.0
2009	0806	87.1
2009	0807	89.1
2009	0808	91.9
2009	0809	91.9
2009	0810	93.0
2009	0811	91.9
2009	0812	91.0
2009	0813	84.9
2009	0814	82.9
2009	0815	89.1
2009	0816	89.1
2009	0817	86.0
2009	0818	87.1
2009	0819	90.0
2009	0820	89.1
2009	0821	89.1
2009	0822	84.9
2009	0823	86.0
2009	0824	88.0
2009	0825	90.0
2009	0826	87.1
2009	0827	82.4
2009	0828	84.9
2009	0829	89.1
2009	0830	89.1
2009	0831	88.0
2010	0801	91.9
2010	0802	97.0
2010	0803	95.0
2010	0804	93.9
2010	0805	93.9
2010	0806	91.0
2010	0807	90.0
2010	0808	93.0
2010	0809	91.9
2010	0810	90.0
2010	0811	91.0
2010	0812	91.0
2010	0813	89.1
2010	0814	90.0
2010	0815	91.0
2010	0816	93.9
2010	0817	95.0
2010	0818	93.0
2010	0819	93.9
2010	0820	91.0
2010	0821	89.6
2010	0822	96.1
2010	0823	91.9
2010	0824	82.9
2010	0825	89.6
2010	0826	89.1
2010	0827	86.0
2010	0828	86.0
2010	0829	87.1
2010	0830	88.0
2010	0831	89.1
2011	0801	91.0
2011	0802	93.0
2011	0803	95.0
2011	0804	97.0
2011	0805	96.1
2011	0806	93.0
2011	0807	93.0
2011	0808	89.6
